age,height_cm,weight_kgs,nationality,overall_rating,potential,wage,preferred_foot,international_reputation(1-5),weak_foot(1-5),skill_moves(1-5),body_type,release_clause_euro,club_team,club_rating,club_position,club_jersey_number,crossing,finishing,heading_accuracy,short_passing,volleys,dribbling,curve,freekick_accuracy,long_passing,ball_control,acceleration,sprint_speed,agility,reactions,balance,shot_power,jumping,stamina,strength,long_shots,aggression,interceptions,positioning,vision,penalties,composure,marking,standing_tackle,sliding_tackle,GK_diving,GK_handling,GK_kicking,GK_positioning,GK_reflexes,LS,ST,RS,LW,LF,CF,RF,RW,LAM,CAM,RAM,LM,LCM,CM,RCM,RM,LWB,LDM,CDM,RDM,RWB,LB,LCB,CB,RCB,RB,position_first,position_second,position_third,upper_work_rate,down_work_rate,num_of_work_rate,value
26,1.8796,82.1,57,71,74,0.008810573,0,1,3,2,5,0.02095732,537,69,8,34,29,25,72,59,31,48,32,29,50,51,53,54,47,69,57,46,73,76,83,30,69,69,27,32,35,67,70,74,71,13,7,11,6,15,49,49,49,45,47,47,47,45,47,47,47,49,53,53,53,49,62,66,66,66,62,65,72,72,72,65,1,0,0,3,3,1,2500000
19,1.8288,73.9,44,55,67,0.004405286,1,1,3,2,5,0.00151161,82,69,21,42,49,53,37,53,40,59,44,33,46,50,77,69,70,49,70,50,45,47,51,33,34,19,47,45,50,46,33,24,30,11,10,8,12,5,52,52,52,56,54,54,54,56,54,54,54,55,48,48,48,55,45,40,40,40,45,43,37,37,37,43,11,7,0,3,2,1.5,150000
23,1.7526,71.2,57,62,69,0,1,1,3,3,3,0.003443668,525,64,28,10,54,52,46,62,49,67,54,53,58,63,74,66,78,61,75,57,65,49,49,48,43,31,55,58,54,52,36,42,37,10,11,12,8,15,58,58,58,63,62,62,62,63,63,63,63,62,58,58,58,62,52,50,50,50,52,50,46,46,46,50,7,11,1,1,3,0.333333333,425000
26,1.7018,69.9,29,67,68,0,1,1,3,3,5,0.006441861,46,66,21,17,72,63,36,63,43,64,69,53,60,66,80,72,91,59,70,65,68,64,65,64,38,37,62,70,58,75,35,26,32,7,12,5,13,11,63,63,63,69,66,66,66,69,67,67,67,68,62,62,62,68,55,51,51,51,55,52,44,44,44,52,7,11,1,3,3,1,900000
19,1.8796,84.8,8,52,71,0,0,1,3,1,5,0.00068573,397,66,28,42,14,7,11,31,5,10,10,12,30,20,22,29,32,35,33,16,45,28,51,5,46,6,6,26,22,35,7,12,13,52,54,57,53,53,59.8917343,59.8917343,59.8917343,61.16578678,60.82270901,60.82270901,60.82270901,61.16578678,61.086518,61.086518,61.086518,61.87652667,60.32708218,60.32708218,60.32708218,61.87652667,59.67457253,58.9429517,58.9429517,58.9429517,59.67457253,58.97068789,57.72161374,57.72161374,57.72161374,58.97068789,5,0,0,3,3,1,80000
31,1.8796,79.8,76,69,69,0.024229075,1,1,3,1,5,0.023071754,406,71,5,1,11,16,14,48,15,15,12,15,33,24,59,60,42,68,44,32,75,31,67,12,29,16,12,57,43,57,23,11,20,67,69,67,69,69,59.8917343,59.8917343,59.8917343,61.16578678,60.82270901,60.82270901,60.82270901,61.16578678,61.086518,61.086518,61.086518,61.87652667,60.32708218,60.32708218,60.32708218,61.87652667,59.67457253,58.9429517,58.9429517,58.9429517,59.67457253,58.97068789,57.72161374,57.72161374,57.72161374,58.97068789,5,0,0,3,3,1,675000
28,1.8796,87.1,63,74,74,0.013215859,0,2,3,2,7,0.035472779,58,71,1,4,64,21,71,64,45,54,60,65,61,59,63,66,62,60,52,73,73,73,86,63,80,73,36,42,38,72,73,74,71,8,10,8,11,11,55,55,55,55,53,53,53,55,54,54,54,57,59,59,59,57,69,69,69,69,69,70,74,74,74,70,1,6,0,3,3,1,4700000
36,1.8542,72.1,131,65,65,0.002202643,1,1,3,2,3,0.000976039,197,73,21,23,37,27,74,57,30,46,54,24,57,55,29,31,58,58,36,32,71,45,73,26,75,62,41,34,39,59,64,66,56,11,10,16,6,11,46,46,46,44,45,45,45,44,47,47,47,46,52,52,52,46,53,61,61,61,53,55,66,66,66,55,1,0,0,3,3,1,130000
28,1.8796,81.2,69,72,73,0.019577911,1,1,3,1,5,0.023071754,320,73,28,12,14,15,18,23,16,16,14,19,22,20,27,20,21,68,21,19,34,19,36,17,20,19,13,18,19,65,12,15,18,73,67,70,70,74,59.8917343,59.8917343,59.8917343,61.16578678,60.82270901,60.82270901,60.82270901,61.16578678,61.086518,61.086518,61.086518,61.87652667,60.32708218,60.32708218,60.32708218,61.87652667,59.67457253,58.9429517,58.9429517,58.9429517,59.67457253,58.97068789,57.72161374,57.72161374,57.72161374,58.97068789,5,0,0,3,3,1,2481203.671
24,1.524,68,123,65,70,0.002202643,1,1,5,3,3,0.006441861,283,64,28,21,62,54,51,62,46,69,50,43,58,64,81,79,75,58,64,50,58,73,61,52,34,15,58,52,48,58,25,25,23,7,12,9,9,13,61,61,61,65,63,63,63,65,63,63,63,66,58,58,58,66,51,46,46,46,51,48,39,39,39,48,11,7,0,3,3,1,725000
